domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,screenshot_path_banner,screenshot_path_manage,notes
aliexpress.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:07.532Z,https://www.aliexpress.com///_____tmd_____/punish?x5secdata=xf0O1l0q8wmsZEVD6ha1g1NjEeSKqd_3v63vpgbiiOwoO_cZU-V6OCIyqzv0J-VC8e8039TJ7q5lBC49p-JSNoo__jg23Z25K7pFl68xJdLQXmjHl-11qYFPE8oNrDxguRNg4ymt2AmEilw_-Rxbcu2owod6oMU1clZ8dNZHVwsTq445XQdp1LWCftmC9iC37oTfrUbsOpeYt-hvqZqYPB5k8vLGJGV5ei4aITDBIAK7ULRV-A6d2FLkDXtOQxyHHLpE71RC-QO8_D247DSTAVHhxZTtK3mBqlhRcSeNv5aqDcgajMiiF_Cj9LeqcmBUu1xZtTi0PoWTnMVFvnnA6zE-jtkthSgydcie5JN7OnCt54RcXCDpCwiXgKSwm24h2DBaIMV6nAzKHIXLsSnShzZLxyGpxhIolIO51VgwUZY_6PirFJ0uWRhxjVPKZCxHuEFcEJ284JyHh2oPURmqijH7Y0hzMm3UbB2ImWwUd_Y8nCtWX1x0Rg6-v8OP1OjHL51hP7bUS0vUzPE735VkTFtt9xoG0IXrL2bTyfrVqxui0tRy7dsn0N7MbWEBPMw_Glfj3Iqlwb219NkOoQdhOOdLswgmtgQTOgFlZd8zBqbDhb7P-8qZhmwZlzpS_VbaqOyuYdvkGOoTMd32D65qZn1UcHHuacss50Bs8rEvFdGujpk-b9NWa93HwxWAA-NppLsaZ1uKmir24ao_SGhX6LhQkQsL_yWBwUyid3eZGBk_XVvwqOODITDbsOkmVjWDHGZ3_3W7NSQ8aH_XYpnY0CuxkAWMj1l35aTKdCdfhDlvw__bx__www.aliexpress.com%2f&x5step=1,ok,,0,,unknown,,0,0,0,0,,,,,0,0,0,0,0,6,,,,,,,,,,,evidence/aliexpress.com/mobile/run2_banner.png,,
amazon.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:08.586Z,https://www.amazon.com/,ok,,1,,unknown,en-us,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,44,,,1,1,0,,,,,,evidence/amazon.com/desktop/run1_banner.png,evidence/amazon.com/desktop/run1_manage.png,
amazon.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:11.700Z,https://www.amazon.com/,ok,,1,,unknown,en-us,1,0,0,0,1,,,,0,0,0,0,0,4,,,1,,,,,,,,evidence/amazon.com/mobile/run1_banner.png,,
amazon.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:09.969Z,https://www.amazon.com/,ok,,1,,unknown,en-us,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,44,,,1,1,0,,,,,,evidence/amazon.com/desktop/run2_banner.png,evidence/amazon.com/desktop/run2_manage.png,
amazon.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:15.635Z,https://www.amazon.com/,ok,,1,,unknown,en-us,1,0,0,0,1,,,,0,0,0,0,0,44,,,1,,,,,,,,evidence/amazon.com/mobile/run2_banner.png,,
ebay.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:16.511Z,https://www.ebay.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,18,,,1,,,,,,,,evidence/ebay.com/desktop/run1_banner.png,,
ebay.com,ECOM_RETAIL,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-11T08:59:17.174Z,https://www.ebay.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,18,,,1,,,,,,,,evidence/ebay.com/desktop/run2_banner.png,,
ebay.com,ECOM_RETAIL,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-11T08:59:20.764Z,https://www.ebay.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,2,,,1,,,,,,,,evidence/ebay.com/mobile/run1_banner.png,,
etsy.com,ECOM_RETAIL,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-11T08:59:22.139Z,https://www.etsy.com/,ok,,0,,unknown,th,0,0,0,0,,,,,0,0,0,0,0,1,,,,,,,,,,,evidence/etsy.com/desktop/run1_banner.png,,
ebay.com,ECOM_RETAIL,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-11T08:59:21.960Z,https://www.ebay.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,2,,,1,,,,,,,,evidence/ebay.com/mobile/run2_banner.png,,
