domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,tracking_requests_count,tracking_cookies_count,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
posttoday.com,NEWS_MEDIA,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-15T04:10:52.971Z,https://www.posttoday.com/,ok,,1,,Quantcast,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,2,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/posttoday.com/desktop/run1_banner.png,evidence_dp3/posttoday.com/desktop/run1_manage.png,"interstitial_step1_before=evidence_dp3/posttoday.com/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.posttoday.com/www.bangkokbiznews.com/AI2026; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/posttoday.com/desktop/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
posttoday.com,NEWS_MEDIA,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-15T04:11:10.218Z,https://www.posttoday.com/,ok,,1,,Quantcast,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/posttoday.com/desktop/run2_banner.png,evidence_dp3/posttoday.com/desktop/run2_manage.png,"interstitial_step1_before=evidence_dp3/posttoday.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.posttoday.com/www.bangkokbiznews.com/AI2026; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/posttoday.com/desktop/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
posttoday.com,NEWS_MEDIA,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-15T04:11:40.599Z,https://www.posttoday.com/,ok,,1,,Quantcast,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/posttoday.com/mobile/run1_banner.png,evidence_dp3/posttoday.com/mobile/run1_manage.png,"interstitial_step1_before=evidence_dp3/posttoday.com/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.posttoday.com/www.bangkokbiznews.com/AI2026; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/posttoday.com/mobile/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
posttoday.com,NEWS_MEDIA,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-15T04:11:52.462Z,https://www.posttoday.com/,ok,,1,,Quantcast,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,,,1,1,0,0,,0,,0,,,,,,,,,,evidence_dp3/posttoday.com/mobile/run2_banner.png,evidence_dp3/posttoday.com/mobile/run2_manage.png,"interstitial_step1_before=evidence_dp3/posttoday.com/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.posttoday.com/www.bangkokbiznews.com/AI2026; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/posttoday.com/mobile/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thethaiger.com,NEWS_MEDIA,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-15T04:12:21.396Z,https://thethaiger.com/subscriptions,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,2,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thethaiger.com/desktop/run1_banner.png,,"interstitial_step1_before=evidence_dp3/thethaiger.com/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/subscriptions; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thethaiger.com/desktop/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thethaiger.com,NEWS_MEDIA,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-15T04:12:33.016Z,https://thethaiger.com/subscriptions,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,2,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thethaiger.com/desktop/run2_banner.png,,"interstitial_step1_before=evidence_dp3/thethaiger.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/subscriptions; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thethaiger.com/desktop/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thethaiger.com,NEWS_MEDIA,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-15T04:12:59.099Z,https://thethaiger.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,6,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thethaiger.com/mobile/run1_banner.png,,"interstitial_step1_before=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step1_after.png; interstitial_step2_before=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step2_after=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step2_after.png; interstitial_step3_before=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step3_after=evidence_dp3/thethaiger.com/mobile/run1_interstitial_step3_after.png; areaRatio=1.00, contrastDiff=0; "
thethaiger.com,NEWS_MEDIA,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-15T04:13:10.667Z,https://thethaiger.com/,ok,,1,,unknown,en,1,0,0,1,1,,,,0,0,0,0,0,6,,,,,1,,,0,,0,,0,,,,,,,,,,evidence_dp3/thethaiger.com/mobile/run2_banner.png,,"interstitial_step1_before=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step1_after.png; interstitial_step2_before=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step2_after=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step2_after.png; interstitial_step3_before=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://thethaiger.com/#; interstitial_clicked=""""; interstitial_step3_after=evidence_dp3/thethaiger.com/mobile/run2_interstitial_step3_after.png; areaRatio=1.00, contrastDiff=0; "
thaipbs.or.th,NEWS_MEDIA,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-15T04:13:38.051Z,https://www.thaipbs.or.th/home,ok,,1,,unknown,th,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,,0,,0,,1,,,,,,,,,,evidence_dp3/thaipbs.or.th/desktop/run1_banner.png,,"interstitial_step1_before=evidence_dp3/thaipbs.or.th/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipbs.or.th/home; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipbs.or.th/desktop/run1_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
thaipbs.or.th,NEWS_MEDIA,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-15T04:13:49.591Z,https://www.thaipbs.or.th/home,ok,,1,,unknown,th,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,,0,,0,,1,,,,,,,,,,evidence_dp3/thaipbs.or.th/desktop/run2_banner.png,,"interstitial_step1_before=evidence_dp3/thaipbs.or.th/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.thaipbs.or.th/home; interstitial_clicked=""""; interstitial_step1_after=evidence_dp3/thaipbs.or.th/desktop/run2_interstitial_step1_after.png; areaRatio=1.00, contrastDiff=0; "
