domain,stratum,source,source_rank,run_id,device,viewport,locale,geo_country,datetime_utc,final_url,status,blocked_reason,banner_present,banner_type,cms_cmp_vendor,language_detected,accept_all_first_layer,reject_all_first_layer,manage_first_layer,close_button_present,clicks_accept_all,clicks_reject_all,delta_clicks,steps_reject_description,has_toggle_analytics,has_toggle_ads,default_on_analytics,default_on_ads,has_reject_all_anywhere,third_party_before_consent,third_party_after_reject,tracking_after_reject_flag,dp1_flag,dp2_flag,dp3_flag,dp4_flag,dp5_flag,dp6_flag,dp7_flag,dp8_flag,dp3_flag_adv,dp3_pre_tracking_count,dp3_reject_tracking_count,dp3_accept_tracking_count,dp3_pre_only_endpoints_count,dp3_pre_only_cookies_count,dp3_pre_only_endpoints_sample,dp3_pre_only_cookies_sample,canvas_fp_preconsent,screenshot_path_banner,screenshot_path_manage,notes
scb.co.th,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:47:30.075Z,https://www.scb.co.th/en/personal-banking/,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,1,,,1,1,0,,,,,,,,,,,,,,,evidence/scb.co.th/mobile/run1_banner.png,evidence/scb.co.th/mobile/run1_manage.png,"interstitial_step1_before=evidence/scb.co.th/mobile/run1_interstitial_step1_before.png; interstitial_clicked=""Enter Site""; interstitial_step1_after=evidence/scb.co.th/mobile/run1_interstitial_step1_after.png; "
scb.co.th,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:47:28.719Z,https://www.scb.co.th/en/personal-banking/,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/scb.co.th/desktop/run2_banner.png,evidence/scb.co.th/desktop/run2_manage.png,"interstitial_step1_before=evidence/scb.co.th/desktop/run2_interstitial_step1_before.png; interstitial_clicked=""Enter Site""; interstitial_step1_after=evidence/scb.co.th/desktop/run2_interstitial_step1_after.png; "
scb.co.th,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:47:31.807Z,https://www.scb.co.th/en/personal-banking/,ok,,1,,unknown,en,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,4,,,1,1,0,,,,,,,,,,,,,,,evidence/scb.co.th/mobile/run2_banner.png,evidence/scb.co.th/mobile/run2_manage.png,"interstitial_step1_before=evidence/scb.co.th/mobile/run2_interstitial_step1_before.png; interstitial_clicked=""Enter Site""; interstitial_step1_after=evidence/scb.co.th/mobile/run2_interstitial_step1_after.png; "
scbx.com,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:47:39.750Z,https://www.scbx.com/th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/scbx.com/desktop/run2_banner.png,evidence/scbx.com/desktop/run2_manage.png,"interstitial_step1_before=evidence/scbx.com/desktop/run2_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step1_after=evidence/scbx.com/desktop/run2_interstitial_step1_after.png; interstitial_step2_before=evidence/scbx.com/desktop/run2_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step2_after=evidence/scbx.com/desktop/run2_interstitial_step2_after.png; interstitial_step3_before=evidence/scbx.com/desktop/run2_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step3_after=evidence/scbx.com/desktop/run2_interstitial_step3_after.png; "
scbx.com,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:47:39.741Z,https://www.scbx.com/th/,ok,,1,,unknown,th,1,0,1,1,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/scbx.com/desktop/run1_banner.png,evidence/scbx.com/desktop/run1_manage.png,"interstitial_step1_before=evidence/scbx.com/desktop/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step1_after=evidence/scbx.com/desktop/run1_interstitial_step1_after.png; interstitial_step2_before=evidence/scbx.com/desktop/run1_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step2_after=evidence/scbx.com/desktop/run1_interstitial_step2_after.png; interstitial_step3_before=evidence/scbx.com/desktop/run1_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step3_after=evidence/scbx.com/desktop/run1_interstitial_step3_after.png; "
kbank.co.th,FIN,seed_list,,1,desktop,1366x768,th-TH,TH,2026-02-12T15:47:59.795Z,,error,"page.goto: net::ERR_NAME_NOT_RESOLVED at http://kbank.co.th/
Call log:
[2m  - navigating to ""http://kbank.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
kbank.co.th,FIN,seed_list,,2,desktop,1366x768,th-TH,TH,2026-02-12T15:47:59.914Z,,error,"page.goto: net::ERR_NAME_NOT_RESOLVED at http://kbank.co.th/
Call log:
[2m  - navigating to ""http://kbank.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
kbank.co.th,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:47:59.969Z,,error,"page.goto: net::ERR_NAME_NOT_RESOLVED at http://kbank.co.th/
Call log:
[2m  - navigating to ""http://kbank.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
kbank.co.th,FIN,seed_list,,2,mobile,390x844,th-TH,TH,2026-02-12T15:48:00.019Z,,error,"page.goto: net::ERR_NAME_NOT_RESOLVED at http://kbank.co.th/
Call log:
[2m  - navigating to ""http://kbank.co.th/"", waiting until ""domcontentloaded""[22m
",0,,unknown,,0,0,0,0,,,,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
scbx.com,FIN,seed_list,,1,mobile,390x844,th-TH,TH,2026-02-12T15:47:41.573Z,https://www.scbx.com/th/,ok,,1,,unknown,th,1,0,1,0,1,2,1,manage->(attempt reject-all inside) | no reject-all found (manual coding needed),0,0,0,0,,0,,,1,1,0,,,,,,,,,,,,,,,evidence/scbx.com/mobile/run1_banner.png,evidence/scbx.com/mobile/run1_manage.png,"interstitial_step1_before=evidence/scbx.com/mobile/run1_interstitial_step1_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step1_after=evidence/scbx.com/mobile/run1_interstitial_step1_after.png; interstitial_step2_before=evidence/scbx.com/mobile/run1_interstitial_step2_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step2_after=evidence/scbx.com/mobile/run1_interstitial_step2_after.png; interstitial_step3_before=evidence/scbx.com/mobile/run1_interstitial_step3_before.png; interstitial_fallback_clicked_href=https://www.scbx.com/th/; interstitial_clicked=""""; interstitial_step3_after=evidence/scbx.com/mobile/run1_interstitial_step3_after.png; "
